"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1","Ne keshtjelle","Marianne Gruber","10","Dollapi 13",""
"2","Albumi","Fan S Noli","10","Dollapi 13",""
"3","Fije bari","Uollt Uitman","4","Dollapi 13",""
"4","Nje dore oriz","Kamala Markandoja","5","Dollapi 13",""
"5","Uashington DK","Gor Vidal","3","Dollapi 13",""
"6","Motosharra","Nils Parling","4","Dollapi 13","Roman"
"7","Krilla njemijekraheshe","Jasunar Kavabeta","4","Dollapi 13",""
"8","Pushtet pa lavdi","Frenk Hardi","1","Dollapi 13",""
"9","Pylli SA-NU","","1","Dollapi 13",""
"10","Proze skandinave","","1","Dollapi 13",""
"11","Kurosivo","T. Rako","2","Dollapi 13","Roman"
"12","Poezi japoneze","","2","Dollapi 13","poezi"
"13","Prijesi I senindeve","Oskeola","1","Dollapi 13",""
"14","Po tani o I shkrete","","1","Dollapi 13","roman"
"15","Skenderbeu","Antonio Xonkada","1","Dollapi 13",""
"16","Perralla e fucise","Xh. Suift","1","Dollapi 13",""
"17","Rrefimi I Helemes","Onufri","5","Dollapi 13",""
"18","Aforizma","Oscar Wilde","4","Dollapi 13",""
"19","Mefisto","Klaus Man","4","Dollapi 13","Roman"
"20","Hija e Klaudios","M.L Gusman","4","Dollapi 13",""
"21","Njeriu I padukshem","Herberi XhorxhUell","6","Dollapi 13",""
"22","Nje ngjarje ne korrik","","2","Dollapi 13","Roman"
"23","Sduhet te jete keshtu","Xhejm Uells","2","Dollapi 13",""
"24","Parajsa e humbur","Xhon Militon","4","Dollapi 13",""
"25","Poema","","3","Dollapi 13",""
"26","Gjermania , nje perralle dimri","H. Haine","3","Dollapi 13",""
"27","Zoter te vesez","Zhak Rumen","2","Dollapi 13",""
"28","Lamtumire stine","Ernest Heminguej","1","Dollapi 13",""
"29","Geci I berlinit","N. Genit","1","Dollapi 13",""
"30","Vrasjet e shekullit","Kirk Uillson","9","Dollapi 13",""
"31","Saga e forsaideve","Xhon Gallsuhi","4","Dollapi 13","Roman"
"32","David Koperfildi","Carls Dikens","7","Dollapi 13","Roman"
"33","Panairi I kotesirave","","11","Dollapi 13",""
"34","Gjeniu","Teodor Drajzer","6","Dollapi 13","Roman"
"35","Xhon O Kilens","Sangblladet","2","Dollapi 13","Roman"
"36","Katerina","Sali Salminen","2","Dollapi 13",""
